"","Basidiophora delawarensis","Basidiophora entospora","Basidiophora simplex","Benua kellermanii","Bremia lactucae","Hyaloperonospora arabidis-oxyphyllae","Hyaloperonospora arabidopsidis","Hyaloperonospora barbareae","Hyaloperonospora brassicae","Hyaloperonospora cakiles","Hyaloperonospora camelinae","Hyaloperonospora cardamines-laciniatae","Hyaloperonospora cheiranthi","Hyaloperonospora cochleariae","Hyaloperonospora daughtreyae","Hyaloperonospora dentariae","Hyaloperonospora erophilae","Hyaloperonospora floerkeae","Hyaloperonospora galligena","Hyaloperonospora hesperidis","Hyaloperonospora iberidis","Hyaloperonospora lobulariae","Hyaloperonospora nasturtii-aquatici","Hyaloperonospora nasturtii-palustiris","Hyaloperonospora parasitica","Hyaloperonospora sisymbrii-intermedii","Hyaloperonospora sisymbrii-officinalis","Hyaloperonospora sisymbrii-sophiae","Hyaloperonospora sp","Paraperonospora artemisiae-biennis","Paraperonospora leptosperma","Paraperonospora sulphurea","Peronosclerospora sorghi","Peronospora aestivalis","Peronospora aestivalis f. lupulinae","Peronospora agrimoniae","Peronospora agrostemmatis","Peronospora alsinearum","Peronospora alta","Peronospora amaranthi","Peronospora americana","Peronospora androsaces","Peronospora antirrhini","Peronospora aparines","Peronospora arborescens","Peronospora arthuri","Peronospora arthurii","Peronospora astragali","Peronospora belbahrii","Peronospora borealis","Peronospora calotheca","Peronospora calotheca var. galii-vaillantii","Peronospora canadensis","Peronospora capsici","Peronospora chamaesycis","Peronospora chenopodii","Peronospora choi","Peronospora claytoniae","Peronospora corydalis","Peronospora corydalis-intermediae","Peronospora cynoglossi","Peronospora cyparissiae","Peronospora davisii","Peronospora destructor","Peronospora dianthi","Peronospora dicentrae","Peronospora digitalidis","Peronospora dipsaci","Peronospora dipsaci-silvestris","Peronospora ducometii","Peronospora echinospermi","Peronospora effusa","Peronospora erigoni","Peronospora ervi","Peronospora euphorbiae","Peronospora euphorbiae-glyptospermae","Peronospora fabae","Peronospora ficariae","Peronospora fragariae","Peronospora gei","Peronospora giliae","Peronospora grisea","Peronospora hedeomatis","Peronospora hiemalis","Peronospora hydrophylli","Peronospora jaapiana","Peronospora jacksonii","Peronospora kuewa","Peronospora lamii","Peronospora lathyri-maritimi","Peronospora lini","Peronospora lithospermi","Peronospora lophanthi","Peronospora lotorum","Peronospora manshurica","Peronospora matthiolae","Peronospora melampyri","Peronospora mesembryanthemi","Peronospora monardae","Peronospora monolepidis","Peronospora muralis","Peronospora myosotidis","Peronospora narbonensis","Peronospora nemophilae","Peronospora obovata","Peronospora oxybaphi","Peronospora phlogina","Peronospora pisi","Peronospora plantaginis","Peronospora polygoni","Peronospora polygoni-convolvuli","Peronospora potentillae","Peronospora radii","Peronospora ranunculi","Peronospora ranunculi-peduncularis","Peronospora rubi","Peronospora rumicis","Peronospora saxifragae","Peronospora schachtii","Peronospora sepium","Peronospora seymourii","Peronospora silenes","Peronospora somniferi","Peronospora sordida","Peronospora sp","Peronospora sparsa","Peronospora stigmaticola","Peronospora swinglei","Peronospora tabacina","Peronospora trigonellae","Peronospora valerianae","Peronospora valerianellae","Peronospora variabilis","Peronospora vexans","Peronospora viciae","Peronospora viciicola","Peronospora violae","Peronospora whippleae","Plasmopara acalyphae","Plasmopara affinis f. affinis","Plasmopara affinis f. silphii","Plasmopara angustiterminalis f. ambrosiae","Plasmopara angustiterminalis f. bidentis","Plasmopara australis","Plasmopara cephalophora","Plasmopara cercidis","Plasmopara cissi","Plasmopara constantinescui","Plasmopara destructor","Plasmopara epilobii","Plasmopara geranii","Plasmopara gnaphalii","Plasmopara gonolobi","Plasmopara halstedii","Plasmopara helianthi","Plasmopara helianthi f. helianthi","Plasmopara helianthi f. patens","Plasmopara helianthi f. perennis","Plasmopara illinoensis","Plasmopara impatientis","Plasmopara lactucae-radicis","Plasmopara latifolii","Plasmopara megasperma","Plasmopara muralis","Plasmopara myosotidis","Plasmopara nivea","Plasmopara obducens","Plasmopara portoricensis","Plasmopara ribicola","Plasmopara sp","Plasmopara sphagneticolae","Plasmopara velutina","Plasmopara viburni","Plasmopara vincetoxici","Plasmopara viticola","Plasmopara wilsonii","Plasmoverna alpina","Plasmoverna fusca","Plasmoverna pygmaea","Plasmoverna sp","Pseudoperonospora celtidis","Pseudoperonospora cubensis","Pseudoperonospora humuli","Pseudoperonospora urticae","Sclerophthora gigaspora","Sclerophthora macrospora","Sclerospora farlowii","Sclerospora graminicola"
"Missouri",0,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,13,0,0,0,0,0,0,0,1,3,2,0,2,5,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,4,0,0,16,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,21,0,0,1,0,0,0,0,0,0,1,0,0
"Montana",0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,9,0,0,0,1,1,0,1,0,0,1,0,0,2,4,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
"Nebraska",0,4,0,5,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,11,0,0,0,0,3,0,0,0,0,9,0,2,0,0,0,0,0,13,2,0,0,0,0,0,0,1,6,0,0,4,6,0,0,0,0,0,2,0,0,0,0,7,1,0,0,5,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,3,10,1,5,0,0,0,0,0,0,0,0,0,12,16,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22,2,0,1,0,0,0,0,1,0,0,0,0,14
"Nevada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Jersey",0,0,1,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,16,7,0,0,0,0,0,14,0,0,0,0,0,0
"New Mexico",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"New York",0,0,3,0,42,0,0,0,24,4,0,6,0,0,2,0,0,4,0,4,0,0,0,0,6,0,0,0,29,0,0,0,0,14,0,10,0,2,22,1,2,0,0,1,0,0,34,0,1,4,3,0,0,0,0,0,0,1,2,0,1,0,0,29,0,33,0,0,0,0,1,20,0,0,0,0,0,56,0,8,0,5,0,1,15,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,6,0,2,2,3,1,0,0,4,0,0,0,0,0,3,0,4,8,8,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,11,17,0,0,0,0,7,0,51,0,0,13,11,4,0,0,0,0,0,1,0,6,0,0,24,0,1,0,0,1,9,0,126,4,1,21,40,0,0,20,11,0,0,2,0,20
"North Carolina",0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,8,0,0,0,0,0,0
"North Dakota",0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,4,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,17
"Ohio",0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,31,0,0,0,0,0,0
"Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1
"Oregon",0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,8,0,0,0,0,1,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,6,5,0,8,6,0,1,0,1,0,0,0,4,0,1,2,0,0,0,0,2,12,0,0,0,0,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0
"Pennsylvania",0,2,0,0,15,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,23,0,0,0,0,3,0,3,0,0,5,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,13,0,0,15,7,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,52,0,0,2,0,0,1,6,0,0,0,0,0,6
"Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0
"Rhode Island",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"South Carolina",0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,17,0,0,0,0,0,0
"South Dakota",0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,14
"Tennessee",0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0
"Texas",0,2,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,4,1,0,0,0,2,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,10,0,0,0,1,0,2
"Utah",0,3,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,11,0,0,1,0,9,1,0,0,0,2,0,0,0,0,1,0,0,2,1,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,8,0,1,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Vermont",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Virginia",0,0,1,0,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,39,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,10,3,0,0,0,0,0,9,0,0,0,1,0,0
"Washington",0,0,0,0,16,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,2,0,1,23,0,0,1,0,25,0,0,0,0,1,0,0,0,2,2,0,0,4,2,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,10,0,1,0,0,0,1,1,11,0,0,0,0,0,4,0,0,0,13,0,0,14,0,4,0,3,0,0,0,0,1,0,0,0,0,0,1,0,18,6,7,4,0,16,12,1,1,2,3,0,1,0,2,0,10,5,0,0,0,0,0,17,0,0,0,1,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,2,0,0
"Washington District of Columbia",0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,13,10,0,0,0,0,13,1,0,0,0,0,0,0
"West Virginia",0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,7,2,3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,3,0,34,0,0,0,0,0,2,7,0,0,0,0,0,0
"Wisconsin",0,36,20,9,73,2,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,11,4,1,0,81,6,1,5,0,14,0,40,0,15,30,0,16,1,0,12,0,0,26,3,0,17,15,4,18,0,10,4,0,0,3,0,0,0,2,6,0,26,0,0,0,0,1,1,0,0,2,3,1,77,0,49,0,21,7,0,36,0,0,0,1,0,0,0,24,0,7,0,5,0,0,0,0,4,23,0,2,8,11,9,5,1,1,25,0,0,0,18,0,0,0,0,0,6,0,15,14,0,5,0,1,0,0,0,25,0,2,0,0,0,15,9,9,4,38,35,19,0,0,1,0,0,47,0,0,124,67,3,18,0,22,0,0,0,0,22,1,7,32,0,36,0,0,0,8,0,77,2,0,75,67,0,1,6,36,1,0,0,0,22
"Wyoming",0,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
